,Link,title,company,salary,date,location
137,https://www.indeed.com/rc/clk?jk=d8678165258b5e07&fccid=7211d6a9510d11db&vjs=3,Data Scientist,Hach,N/A,16 days ago,"Loveland, CO 80538"
138,https://www.indeed.com/rc/clk?jk=aca5096262d1cca1&fccid=d73294b71d7f0354&vjs=3,Data Scientist,Ipsos North America,N/A,18 days ago,"Culver City, CA"
139,https://www.indeed.com/rc/clk?jk=b0b0329ef6b427ef&fccid=965f05c91b70b412&vjs=3,DATA SCIENTIST,Decentrix,N/A,30+ days ago,"Denver, CO"
140,https://www.indeed.com/rc/clk?jk=d530287d5a27c6ba&fccid=b53218579f8cf88c&vjs=3,Senior Data Scientist,Root Insurance Company,N/A,30+ days ago,"Columbus, OH"
141,https://www.indeed.com/rc/clk?jk=75f6fe69c2cf7a22&fccid=c4eb945009d38a84&vjs=3,Data Scientist,Edgestream,N/A,30+ days ago,"Princeton, NJ"
142,https://www.indeed.com/rc/clk?jk=b54c8c95d8566853&fccid=2973259ddc967948&vjs=3,eCom Data Scientist,PepsiCo,N/A,10 days ago,"New York, NY"
143,https://www.indeed.com/rc/clk?jk=30ca3f68aa917c96&fccid=92dad6c269775a38&vjs=3,Data Scientist,Big Data Federation,N/A,30+ days ago,"Santa Clara, CA"
144,https://www.indeed.com/rc/clk?jk=c1328ff238551302&fccid=49fdb3979d077987&vjs=3,DATA SCIENTIST,Union Hospital of Cecil County,N/A,9 days ago,"Elkton, MD 21921"
145,https://www.indeed.com/rc/clk?jk=224e9b10e2dcb14b&fccid=0ff890d2b9eda516&vjs=3,Data Scientist,Enable Data,N/A,30+ days ago,"Minneapolis, MN 55414 (Prospect Park area)"
146,https://www.indeed.com/rc/clk?jk=738f649b1fb8b06c&fccid=53b217ceadb8368f&vjs=3,"Data Scientist, Momentum",Momentum,N/A,7 days ago,"New York, NY 10016 (Flatiron District area)"
147,https://www.indeed.com/rc/clk?jk=8c4d782ed5ef1ff9&fccid=fe404d18bb9eef1e&vjs=3,Associate Data Scientist- Ads (Remote Eligible - Americas),Spotify,N/A,30+ days ago,"New York, NY"
148,https://www.indeed.com/rc/clk?jk=ad691be0e8ef96da&fccid=a74a0fbbfa36acbd&vjs=3,Data Scientist,Coyote Logistics,N/A,2 days ago,"Chicago, IL 60647 (Avondale area)"
149,https://www.indeed.com/rc/clk?jk=737abb899b462ed3&fccid=088981af222032de&vjs=3,Data Scientist (Food Data),Weight Watchers International,N/A,18 days ago,"New York, NY"
